id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2976919,dongsi_aq,2018-04-28 00:00:00,59.0,172.0,96.0,0.8,8.0,5.0
2976920,tiantan_aq,2018-04-28 00:00:00,52.0,187.0,104.0,0.8,3.0,5.0
2976921,guanyuan_aq,2018-04-28 00:00:00,54.0,165.0,91.0,0.6,13.0,7.0
2976922,wanshouxigong_aq,2018-04-28 00:00:00,51.0,184.0,93.0,0.9,6.0,5.0
2976923,aotizhongxin_aq,2018-04-28 00:00:00,58.0,134.0,86.0,0.7,6.0,3.0
2976924,nongzhanguan_aq,2018-04-28 00:00:00,49.0,165.0,106.0,0.8,2.0,4.0
2976925,wanliu_aq,2018-04-28 00:00:00,46.0,172.0,84.0,0.7,13.0,45.0
2976926,beibuxinqu_aq,2018-04-28 00:00:00,41.0,141.0,65.0,0.7,9.0,2.0
2976927,zhiwuyuan_aq,2018-04-28 00:00:00,,,,,,
2976928,fengtaihuayuan_aq,2018-04-28 00:00:00,48.0,183.0,88.0,0.7,14.0,6.0
2976929,yungang_aq,2018-04-28 00:00:00,33.0,47.0,45.0,0.5,41.0,5.0
2976930,gucheng_aq,2018-04-28 00:00:00,47.0,135.0,71.0,0.6,32.0,2.0
2976931,fangshan_aq,2018-04-28 00:00:00,46.0,,87.0,0.6,20.0,3.0
2976932,daxing_aq,2018-04-28 00:00:00,60.0,191.0,103.0,0.6,2.0,11.0
2976933,yizhuang_aq,2018-04-28 00:00:00,52.0,132.0,99.0,0.8,7.0,4.0
2976934,tongzhou_aq,2018-04-28 00:00:00,63.0,160.0,88.0,0.8,13.0,8.0
2976935,shunyi_aq,2018-04-28 00:00:00,51.0,70.0,61.0,0.9,24.0,6.0
2976936,pingchang_aq,2018-04-28 00:00:00,49.0,125.0,59.0,0.5,28.0,3.0
2976937,mentougou_aq,2018-04-28 00:00:00,25.0,105.0,27.0,0.4,69.0,2.0
2976938,pinggu_aq,2018-04-28 00:00:00,44.0,96.0,34.0,0.5,68.0,3.0
2976939,huairou_aq,2018-04-28 00:00:00,34.0,95.0,17.0,0.5,53.0,2.0
2976940,miyun_aq,2018-04-28 00:00:00,44.0,144.0,69.0,0.6,19.0,2.0
2976941,yanqin_aq,2018-04-28 00:00:00,61.0,201.0,86.0,0.5,10.0,5.0
2976942,dingling_aq,2018-04-28 00:00:00,,141.0,41.0,0.6,44.0,3.0
2976943,badaling_aq,2018-04-28 00:00:00,39.0,182.0,65.0,0.4,48.0,3.0
2976944,miyunshuiku_aq,2018-04-28 00:00:00,34.0,102.0,19.0,0.4,69.0,2.0
2976945,donggaocun_aq,2018-04-28 00:00:00,46.0,87.0,29.0,0.6,80.0,11.0
2976946,yongledian_aq,2018-04-28 00:00:00,90.0,156.0,79.0,1.5,14.0,12.0
2976947,yufa_aq,2018-04-28 00:00:00,81.0,159.0,65.0,0.6,5.0,5.0
2976948,liulihe_aq,2018-04-28 00:00:00,52.0,230.0,48.0,0.5,37.0,2.0
2976949,qianmen_aq,2018-04-28 00:00:00,47.0,178.0,108.0,0.7,7.0,8.0
2976950,yongdingmennei_aq,2018-04-28 00:00:00,48.0,190.0,168.0,1.0,7.0,9.0
2976951,xizhimenbei_aq,2018-04-28 00:00:00,69.0,147.0,99.0,0.6,14.0,5.0
2976952,nansanhuan_aq,2018-04-28 00:00:00,50.0,201.0,115.0,0.7,2.0,11.0
2976953,dongsihuan_aq,2018-04-28 00:00:00,54.0,181.0,106.0,0.8,2.0,12.0
2976975,dongsi_aq,2018-04-28 01:00:00,67.0,169.0,83.0,0.6,29.0,8.0
2976976,tiantan_aq,2018-04-28 01:00:00,59.0,162.0,104.0,0.8,12.0,6.0
2976977,guanyuan_aq,2018-04-28 01:00:00,56.0,152.0,69.0,0.6,50.0,8.0
2976978,wanshouxigong_aq,2018-04-28 01:00:00,65.0,206.0,86.0,0.8,22.0,7.0
2976979,aotizhongxin_aq,2018-04-28 01:00:00,64.0,137.0,77.0,0.7,26.0,4.0
2976980,nongzhanguan_aq,2018-04-28 01:00:00,56.0,175.0,101.0,0.8,10.0,6.0
2976981,wanliu_aq,2018-04-28 01:00:00,52.0,171.0,68.0,0.7,43.0,32.0
2976982,beibuxinqu_aq,2018-04-28 01:00:00,45.0,160.0,67.0,0.7,35.0,2.0
2976983,zhiwuyuan_aq,2018-04-28 01:00:00,,,,,,
2976984,fengtaihuayuan_aq,2018-04-28 01:00:00,56.0,183.0,80.0,0.7,36.0,7.0
2976985,yungang_aq,2018-04-28 01:00:00,50.0,76.0,52.0,0.6,50.0,6.0
2976986,gucheng_aq,2018-04-28 01:00:00,53.0,138.0,64.0,0.6,49.0,3.0
2976987,fangshan_aq,2018-04-28 01:00:00,48.0,,83.0,0.6,38.0,5.0
2976988,daxing_aq,2018-04-28 01:00:00,70.0,243.0,100.0,0.5,9.0,16.0
2976989,yizhuang_aq,2018-04-28 01:00:00,59.0,158.0,109.0,0.8,21.0,9.0
2976990,tongzhou_aq,2018-04-28 01:00:00,71.0,173.0,85.0,0.8,22.0,11.0
2976991,shunyi_aq,2018-04-28 01:00:00,66.0,146.0,55.0,1.0,54.0,11.0
2976992,pingchang_aq,2018-04-28 01:00:00,56.0,115.0,57.0,0.5,42.0,4.0
2976993,mentougou_aq,2018-04-28 01:00:00,30.0,116.0,32.0,0.4,78.0,3.0
2976994,pinggu_aq,2018-04-28 01:00:00,41.0,88.0,29.0,0.5,95.0,6.0
2976995,huairou_aq,2018-04-28 01:00:00,36.0,89.0,29.0,0.6,76.0,4.0
2976996,miyun_aq,2018-04-28 01:00:00,47.0,161.0,56.0,0.6,50.0,4.0
2976997,yanqin_aq,2018-04-28 01:00:00,76.0,228.0,88.0,0.6,19.0,5.0
2976998,dingling_aq,2018-04-28 01:00:00,,138.0,37.0,0.5,64.0,3.0
2976999,badaling_aq,2018-04-28 01:00:00,46.0,174.0,42.0,0.4,80.0,4.0
2977000,miyunshuiku_aq,2018-04-28 01:00:00,42.0,109.0,30.0,0.4,68.0,2.0
2977001,donggaocun_aq,2018-04-28 01:00:00,51.0,92.0,27.0,0.5,98.0,15.0
2977002,yongledian_aq,2018-04-28 01:00:00,100.0,154.0,80.0,1.5,31.0,18.0
2977003,yufa_aq,2018-04-28 01:00:00,84.0,155.0,87.0,0.7,16.0,16.0
2977004,liulihe_aq,2018-04-28 01:00:00,53.0,226.0,46.0,0.5,53.0,3.0
2977005,qianmen_aq,2018-04-28 01:00:00,55.0,148.0,99.0,0.7,21.0,11.0
2977006,yongdingmennei_aq,2018-04-28 01:00:00,51.0,162.0,164.0,0.9,20.0,11.0
2977007,xizhimenbei_aq,2018-04-28 01:00:00,74.0,148.0,86.0,0.6,35.0,6.0
2977008,nansanhuan_aq,2018-04-28 01:00:00,55.0,175.0,110.0,0.7,11.0,10.0
2977009,dongsihuan_aq,2018-04-28 01:00:00,61.0,208.0,105.0,0.8,12.0,11.0
2977031,dongsi_aq,2018-04-28 02:00:00,72.0,164.0,74.0,0.6,50.0,8.0
2977032,tiantan_aq,2018-04-28 02:00:00,68.0,155.0,97.0,0.8,29.0,7.0
2977033,guanyuan_aq,2018-04-28 02:00:00,64.0,165.0,67.0,0.6,63.0,9.0
2977034,wanshouxigong_aq,2018-04-28 02:00:00,67.0,189.0,72.0,0.8,49.0,8.0
2977035,aotizhongxin_aq,2018-04-28 02:00:00,69.0,130.0,61.0,0.6,60.0,7.0
2977036,nongzhanguan_aq,2018-04-28 02:00:00,66.0,150.0,89.0,0.7,33.0,7.0
2977037,wanliu_aq,2018-04-28 02:00:00,50.0,157.0,54.0,0.6,76.0,8.0
2977038,beibuxinqu_aq,2018-04-28 02:00:00,47.0,181.0,62.0,0.7,57.0,3.0
2977039,zhiwuyuan_aq,2018-04-28 02:00:00,,,,,,
2977040,fengtaihuayuan_aq,2018-04-28 02:00:00,51.0,170.0,60.0,0.7,69.0,8.0
2977041,yungang_aq,2018-04-28 02:00:00,51.0,81.0,46.0,0.6,78.0,6.0
2977042,gucheng_aq,2018-04-28 02:00:00,54.0,139.0,58.0,0.6,71.0,5.0
2977043,fangshan_aq,2018-04-28 02:00:00,52.0,,81.0,0.6,56.0,7.0
2977044,daxing_aq,2018-04-28 02:00:00,65.0,220.0,101.0,0.5,21.0,17.0
2977045,yizhuang_aq,2018-04-28 02:00:00,67.0,183.0,107.0,1.0,27.0,10.0
2977046,tongzhou_aq,2018-04-28 02:00:00,75.0,204.0,85.0,0.8,37.0,12.0
2977047,shunyi_aq,2018-04-28 02:00:00,75.0,171.0,48.0,0.9,81.0,13.0
2977048,pingchang_aq,2018-04-28 02:00:00,49.0,153.0,42.0,0.5,72.0,4.0
2977049,mentougou_aq,2018-04-28 02:00:00,42.0,152.0,50.0,0.5,80.0,5.0
2977050,pinggu_aq,2018-04-28 02:00:00,51.0,100.0,27.0,0.6,123.0,18.0
2977051,huairou_aq,2018-04-28 02:00:00,52.0,121.0,31.0,0.5,95.0,6.0
2977052,miyun_aq,2018-04-28 02:00:00,55.0,150.0,43.0,0.6,95.0,7.0
2977053,yanqin_aq,2018-04-28 02:00:00,84.0,184.0,66.0,0.5,63.0,5.0
2977054,dingling_aq,2018-04-28 02:00:00,,136.0,39.0,0.5,78.0,3.0
2977055,badaling_aq,2018-04-28 02:00:00,44.0,199.0,44.0,0.5,79.0,7.0
2977056,miyunshuiku_aq,2018-04-28 02:00:00,39.0,116.0,31.0,0.4,81.0,2.0
2977057,donggaocun_aq,2018-04-28 02:00:00,60.0,120.0,42.0,0.6,79.0,15.0
2977058,yongledian_aq,2018-04-28 02:00:00,80.0,145.0,52.0,1.1,86.0,23.0
2977059,yufa_aq,2018-04-28 02:00:00,97.0,181.0,59.0,0.6,63.0,23.0
2977060,liulihe_aq,2018-04-28 02:00:00,53.0,202.0,39.0,0.5,69.0,3.0
2977061,qianmen_aq,2018-04-28 02:00:00,55.0,170.0,85.0,0.7,47.0,12.0
2977062,yongdingmennei_aq,2018-04-28 02:00:00,60.0,164.0,133.0,0.8,55.0,18.0
2977063,xizhimenbei_aq,2018-04-28 02:00:00,81.0,161.0,84.0,0.6,45.0,12.0
2977064,nansanhuan_aq,2018-04-28 02:00:00,65.0,171.0,100.0,0.7,32.0,10.0
2977065,dongsihuan_aq,2018-04-28 02:00:00,67.0,178.0,94.0,0.7,34.0,11.0
2977087,dongsi_aq,2018-04-28 03:00:00,82.0,173.0,60.0,0.6,89.0,8.0
2977088,tiantan_aq,2018-04-28 03:00:00,81.0,174.0,87.0,0.8,60.0,8.0
2977089,guanyuan_aq,2018-04-28 03:00:00,70.0,155.0,58.0,0.6,102.0,10.0
2977090,wanshouxigong_aq,2018-04-28 03:00:00,71.0,179.0,64.0,0.8,81.0,7.0
2977091,aotizhongxin_aq,2018-04-28 03:00:00,71.0,134.0,53.0,0.6,91.0,7.0
2977092,nongzhanguan_aq,2018-04-28 03:00:00,69.0,167.0,76.0,0.7,62.0,7.0
2977093,wanliu_aq,2018-04-28 03:00:00,63.0,174.0,53.0,0.7,97.0,5.0
2977094,beibuxinqu_aq,2018-04-28 03:00:00,48.0,201.0,61.0,0.7,77.0,4.0
2977095,zhiwuyuan_aq,2018-04-28 03:00:00,,,,,,
2977096,fengtaihuayuan_aq,2018-04-28 03:00:00,98.0,164.0,56.0,0.7,97.0,8.0
2977097,yungang_aq,2018-04-28 03:00:00,48.0,78.0,34.0,0.5,120.0,6.0
2977098,gucheng_aq,2018-04-28 03:00:00,59.0,138.0,52.0,0.5,98.0,5.0
2977099,fangshan_aq,2018-04-28 03:00:00,58.0,,70.0,0.6,90.0,7.0
2977100,daxing_aq,2018-04-28 03:00:00,81.0,240.0,63.0,0.6,37.0,15.0
2977101,yizhuang_aq,2018-04-28 03:00:00,74.0,184.0,104.0,1.0,51.0,12.0
2977102,tongzhou_aq,2018-04-28 03:00:00,83.0,191.0,80.0,0.8,61.0,13.0
2977103,shunyi_aq,2018-04-28 03:00:00,74.0,168.0,47.0,0.9,104.0,13.0
2977104,pingchang_aq,2018-04-28 03:00:00,50.0,161.0,32.0,0.4,101.0,5.0
2977105,mentougou_aq,2018-04-28 03:00:00,,32.0,60.0,0.6,84.0,2.0
2977106,pinggu_aq,2018-04-28 03:00:00,67.0,128.0,29.0,0.7,142.0,18.0
2977107,huairou_aq,2018-04-28 03:00:00,54.0,134.0,28.0,0.6,115.0,6.0
2977108,miyun_aq,2018-04-28 03:00:00,60.0,137.0,40.0,0.6,124.0,8.0
2977109,yanqin_aq,2018-04-28 03:00:00,68.0,183.0,54.0,0.7,75.0,10.0
2977110,dingling_aq,2018-04-28 03:00:00,,139.0,41.0,0.5,89.0,4.0
2977111,badaling_aq,2018-04-28 03:00:00,59.0,202.0,55.0,0.9,73.0,21.0
2977112,miyunshuiku_aq,2018-04-28 03:00:00,52.0,124.0,21.0,0.4,127.0,5.0
2977113,donggaocun_aq,2018-04-28 03:00:00,68.0,122.0,38.0,0.6,110.0,18.0
2977114,yongledian_aq,2018-04-28 03:00:00,87.0,154.0,42.0,1.0,120.0,25.0
2977115,yufa_aq,2018-04-28 03:00:00,107.0,187.0,41.0,0.7,107.0,22.0
2977116,liulihe_aq,2018-04-28 03:00:00,51.0,226.0,43.0,0.5,86.0,4.0
2977117,qianmen_aq,2018-04-28 03:00:00,70.0,172.0,67.0,0.7,87.0,11.0
2977118,yongdingmennei_aq,2018-04-28 03:00:00,79.0,273.0,112.0,0.9,96.0,19.0
2977119,xizhimenbei_aq,2018-04-28 03:00:00,90.0,152.0,75.0,0.7,73.0,13.0
2977120,nansanhuan_aq,2018-04-28 03:00:00,82.0,168.0,91.0,0.8,63.0,9.0
2977121,dongsihuan_aq,2018-04-28 03:00:00,72.0,183.0,102.0,0.8,45.0,12.0
2977143,dongsi_aq,2018-04-28 04:00:00,83.0,174.0,55.0,0.7,120.0,7.0
2977144,tiantan_aq,2018-04-28 04:00:00,117.0,207.0,64.0,0.9,108.0,9.0
2977145,guanyuan_aq,2018-04-28 04:00:00,85.0,158.0,59.0,0.6,127.0,8.0
2977146,wanshouxigong_aq,2018-04-28 04:00:00,92.0,205.0,60.0,1.0,110.0,7.0
2977147,aotizhongxin_aq,2018-04-28 04:00:00,78.0,134.0,54.0,0.6,115.0,7.0
2977148,nongzhanguan_aq,2018-04-28 04:00:00,85.0,188.0,75.0,0.8,89.0,6.0
2977149,wanliu_aq,2018-04-28 04:00:00,63.0,164.0,46.0,0.6,130.0,4.0
2977150,beibuxinqu_aq,2018-04-28 04:00:00,48.0,190.0,53.0,0.6,108.0,5.0
2977151,zhiwuyuan_aq,2018-04-28 04:00:00,,,,,,
2977152,fengtaihuayuan_aq,2018-04-28 04:00:00,81.0,170.0,53.0,0.8,126.0,8.0
2977153,yungang_aq,2018-04-28 04:00:00,59.0,,35.0,0.6,145.0,6.0
2977154,gucheng_aq,2018-04-28 04:00:00,58.0,126.0,45.0,0.6,133.0,6.0
2977155,fangshan_aq,2018-04-28 04:00:00,78.0,,64.0,0.7,122.0,7.0
2977156,daxing_aq,2018-04-28 04:00:00,,257.0,59.0,0.7,86.0,7.0
2977157,yizhuang_aq,2018-04-28 04:00:00,105.0,180.0,80.0,1.0,103.0,14.0
2977158,tongzhou_aq,2018-04-28 04:00:00,115.0,206.0,72.0,0.9,100.0,13.0
2977159,shunyi_aq,2018-04-28 04:00:00,79.0,152.0,48.0,0.9,128.0,13.0
2977160,pingchang_aq,2018-04-28 04:00:00,63.0,160.0,27.0,0.5,131.0,6.0
2977161,mentougou_aq,2018-04-28 04:00:00,37.0,,51.0,0.5,119.0,3.0
2977162,pinggu_aq,2018-04-28 04:00:00,107.0,164.0,26.0,0.9,178.0,19.0
2977163,huairou_aq,2018-04-28 04:00:00,,6.0,25.0,0.6,134.0,6.0
2977164,miyun_aq,2018-04-28 04:00:00,65.0,141.0,38.0,0.6,150.0,8.0
2977165,yanqin_aq,2018-04-28 04:00:00,58.0,172.0,43.0,0.7,98.0,15.0
2977166,dingling_aq,2018-04-28 04:00:00,,149.0,39.0,0.5,111.0,4.0
2977167,badaling_aq,2018-04-28 04:00:00,78.0,150.0,38.0,0.7,106.0,15.0
2977168,miyunshuiku_aq,2018-04-28 04:00:00,50.0,110.0,16.0,0.5,165.0,6.0
2977169,donggaocun_aq,2018-04-28 04:00:00,136.0,165.0,29.0,0.9,161.0,18.0
2977170,yongledian_aq,2018-04-28 04:00:00,100.0,191.0,38.0,1.1,160.0,23.0
2977171,yufa_aq,2018-04-28 04:00:00,122.0,173.0,41.0,0.8,128.0,21.0
2977172,liulihe_aq,2018-04-28 04:00:00,84.0,248.0,35.0,0.6,131.0,5.0
2977173,qianmen_aq,2018-04-28 04:00:00,92.0,217.0,68.0,0.8,115.0,11.0
2977174,yongdingmennei_aq,2018-04-28 04:00:00,107.0,208.0,109.0,1.1,130.0,20.0
2977175,xizhimenbei_aq,2018-04-28 04:00:00,86.0,142.0,67.0,0.7,102.0,11.0
2977176,nansanhuan_aq,2018-04-28 04:00:00,131.0,188.0,104.0,0.9,80.0,10.0
2977177,dongsihuan_aq,2018-04-28 04:00:00,83.0,175.0,90.0,0.8,85.0,11.0
2977219,dongsi_aq,2018-04-28 06:00:00,131.0,213.0,83.0,1.0,135.0,9.0
2977220,tiantan_aq,2018-04-28 06:00:00,126.0,203.0,79.0,1.0,125.0,11.0
2977221,guanyuan_aq,2018-04-28 06:00:00,130.0,211.0,65.0,0.9,169.0,9.0
2977222,wanshouxigong_aq,2018-04-28 06:00:00,135.0,253.0,77.0,1.2,128.0,7.0
2977223,aotizhongxin_aq,2018-04-28 06:00:00,120.0,172.0,66.0,0.7,153.0,7.0
2977224,nongzhanguan_aq,2018-04-28 06:00:00,119.0,245.0,93.0,1.0,114.0,7.0
2977225,wanliu_aq,2018-04-28 06:00:00,95.0,189.0,52.0,0.8,177.0,2.0
2977226,beibuxinqu_aq,2018-04-28 06:00:00,59.0,152.0,40.0,0.7,166.0,6.0
2977227,zhiwuyuan_aq,2018-04-28 06:00:00,,,,,,
2977228,fengtaihuayuan_aq,2018-04-28 06:00:00,122.0,219.0,56.0,1.0,163.0,9.0
2977229,yungang_aq,2018-04-28 06:00:00,97.0,187.0,46.0,0.8,173.0,8.0
2977230,gucheng_aq,2018-04-28 06:00:00,95.0,182.0,47.0,0.7,175.0,6.0
2977231,fangshan_aq,2018-04-28 06:00:00,108.0,,43.0,0.8,198.0,9.0
2977232,daxing_aq,2018-04-28 06:00:00,145.0,222.0,33.0,0.6,190.0,15.0
2977233,yizhuang_aq,2018-04-28 06:00:00,135.0,181.0,40.0,1.1,194.0,15.0
2977234,tongzhou_aq,2018-04-28 06:00:00,154.0,219.0,42.0,1.0,182.0,15.0
2977235,shunyi_aq,2018-04-28 06:00:00,81.0,187.0,40.0,0.9,186.0,11.0
2977236,pingchang_aq,2018-04-28 06:00:00,58.0,156.0,20.0,0.5,188.0,5.0
2977237,mentougou_aq,2018-04-28 06:00:00,63.0,135.0,44.0,0.6,180.0,5.0
2977238,pinggu_aq,2018-04-28 06:00:00,142.0,160.0,25.0,1.0,236.0,18.0
2977239,huairou_aq,2018-04-28 06:00:00,,153.0,26.0,0.6,172.0,7.0
2977240,miyun_aq,2018-04-28 06:00:00,79.0,139.0,32.0,0.6,193.0,8.0
2977241,yanqin_aq,2018-04-28 06:00:00,63.0,157.0,38.0,0.8,124.0,20.0
2977242,dingling_aq,2018-04-28 06:00:00,,126.0,32.0,0.5,162.0,5.0
2977243,badaling_aq,2018-04-28 06:00:00,36.0,95.0,24.0,0.4,151.0,9.0
