id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
2971563,london_grid_000,2018-04-27 00:00:00,CLOUDY,9.72,1013.7323,78.0,207.8,14.18
2971564,london_grid_001,2018-04-27 00:00:00,CLOUDY,8.82,1012.6443,82.0,209.78,12.13
2971565,london_grid_002,2018-04-27 00:00:00,CLOUDY,7.92,1011.5563,86.0,212.55,10.1
2971566,london_grid_003,2018-04-27 00:00:00,CLOUDY,7.16,1008.7947,89.0,211.76,8.35
2971567,london_grid_004,2018-04-27 00:00:00,CLOUDY,6.55,1004.3594,92.0,204.84,6.94
2971568,london_grid_005,2018-04-27 00:00:00,RAIN,5.93,999.9242,95.0,194.61,5.67
2971569,london_grid_006,2018-04-27 00:00:00,CLOUDY,5.82,999.2266,94.0,186.35,5.64
2971570,london_grid_007,2018-04-27 00:00:00,CLOUDY,5.71,998.529,93.0,178.17,5.72
2971571,london_grid_008,2018-04-27 00:00:00,CLOUDY,5.5,998.8618,92.0,175.47,5.77
2971572,london_grid_009,2018-04-27 00:00:00,CLOUDY,5.19,1000.2251,91.0,178.02,5.71
2971573,london_grid_010,2018-04-27 00:00:00,CLOUDY,4.88,1001.5883,90.0,180.63,5.67
2971574,london_grid_011,2018-04-27 00:00:00,CLOUDY,4.62,999.5083,90.0,188.38,5.86
2971575,london_grid_012,2018-04-27 00:00:00,CLOUDY,4.36,997.4283,90.0,195.52,6.15
2971576,london_grid_013,2018-04-27 00:00:00,CLOUDY,4.17,997.0155,90.0,200.44,6.49
2971577,london_grid_014,2018-04-27 00:00:00,CLOUDY,4.04,998.2698,91.0,203.45,6.81
2971578,london_grid_015,2018-04-27 00:00:00,CLOUDY,3.91,999.5242,92.0,206.18,7.16
2971579,london_grid_016,2018-04-27 00:00:00,CLOUDY,3.98,1000.561,92.0,207.47,7.16
2971580,london_grid_017,2018-04-27 00:00:00,CLOUDY,4.05,1001.5978,92.0,208.76,7.16
2971581,london_grid_018,2018-04-27 00:00:00,CLOUDY,4.58,1000.7275,89.0,210.84,7.05
2971582,london_grid_019,2018-04-27 00:00:00,CLOUDY,5.58,997.9499,83.0,213.87,6.82
2971583,london_grid_020,2018-04-27 00:00:00,CLOUDY,6.57,995.1723,77.0,217.09,6.61
2971584,london_grid_021,2018-04-27 00:00:00,CLOUDY,9.78,1013.8923,77.0,209.61,14.23
2971585,london_grid_022,2018-04-27 00:00:00,CLOUDY,8.93,1012.9399,81.0,211.57,12.22
2971586,london_grid_023,2018-04-27 00:00:00,CLOUDY,8.07,1011.9876,85.0,214.3,10.22
2971587,london_grid_024,2018-04-27 00:00:00,CLOUDY,7.34,1009.6215,89.0,213.57,8.48
2971588,london_grid_025,2018-04-27 00:00:00,CLOUDY,6.74,1005.8417,92.0,206.94,7.04
2971589,london_grid_026,2018-04-27 00:00:00,RAIN,6.13,1002.0618,95.0,197.11,5.74
2971590,london_grid_027,2018-04-27 00:00:00,CLOUDY,5.99,1000.4068,94.0,189.41,5.69
2971591,london_grid_028,2018-04-27 00:00:00,CLOUDY,5.84,998.7518,93.0,181.69,5.73
2971592,london_grid_029,2018-04-27 00:00:00,CLOUDY,5.61,998.2398,92.0,179.33,5.75
2971593,london_grid_030,2018-04-27 00:00:00,CLOUDY,5.3,998.8708,91.0,182.23,5.68
2971594,london_grid_031,2018-04-27 00:00:00,CLOUDY,4.98,999.5019,89.0,185.19,5.62
2971595,london_grid_032,2018-04-27 00:00:00,CLOUDY,4.67,998.794,89.0,193.09,5.8
2971596,london_grid_033,2018-04-27 00:00:00,CLOUDY,4.36,998.0862,89.0,200.38,6.07
2971597,london_grid_034,2018-04-27 00:00:00,CLOUDY,4.13,997.7937,90.0,205.19,6.46
2971598,london_grid_035,2018-04-27 00:00:00,CLOUDY,3.98,997.9166,91.0,207.78,6.89
2971599,london_grid_036,2018-04-27 00:00:00,CLOUDY,3.83,998.0394,92.0,210.06,7.34
2971600,london_grid_037,2018-04-27 00:00:00,CLOUDY,3.94,999.8007,92.0,210.55,7.38
2971601,london_grid_038,2018-04-27 00:00:00,CLOUDY,4.05,1001.562,92.0,211.04,7.42
2971602,london_grid_039,2018-04-27 00:00:00,CLOUDY,4.57,1001.2996,89.0,212.46,7.31
2971603,london_grid_040,2018-04-27 00:00:00,CLOUDY,5.5,999.0135,84.0,214.94,7.06
2971604,london_grid_041,2018-04-27 00:00:00,CLOUDY,6.43,996.7275,78.0,217.59,6.82
2971605,london_grid_042,2018-04-27 00:00:00,CLOUDY,9.84,1014.0523,77.0,211.41,14.29
2971606,london_grid_043,2018-04-27 00:00:00,CLOUDY,9.04,1013.2356,81.0,213.34,12.31
2971607,london_grid_044,2018-04-27 00:00:00,CLOUDY,8.23,1012.419,85.0,216.0,10.35
2971608,london_grid_045,2018-04-27 00:00:00,CLOUDY,7.53,1010.4484,88.0,215.33,8.62
2971609,london_grid_046,2018-04-27 00:00:00,CLOUDY,6.93,1007.3239,91.0,208.98,7.16
2971610,london_grid_047,2018-04-27 00:00:00,RAIN,6.33,1004.1995,94.0,199.55,5.82
2971611,london_grid_048,2018-04-27 00:00:00,CLOUDY,6.15,1001.587,93.0,192.4,5.75
2971612,london_grid_049,2018-04-27 00:00:00,CLOUDY,5.96,998.9745,92.0,185.18,5.77
2971613,london_grid_050,2018-04-27 00:00:00,CLOUDY,5.71,997.6177,91.0,183.2,5.76
2971614,london_grid_051,2018-04-27 00:00:00,CLOUDY,5.4,997.5166,90.0,186.46,5.67
2971615,london_grid_052,2018-04-27 00:00:00,CLOUDY,5.08,997.4155,89.0,189.81,5.61
2971616,london_grid_053,2018-04-27 00:00:00,CLOUDY,4.72,998.0798,89.0,197.86,5.77
2971617,london_grid_054,2018-04-27 00:00:00,CLOUDY,4.35,998.7441,89.0,205.33,6.04
2971618,london_grid_055,2018-04-27 00:00:00,CLOUDY,4.08,998.572,89.0,209.95,6.48
2971619,london_grid_056,2018-04-27 00:00:00,CLOUDY,3.92,997.5633,91.0,211.99,7.01
2971620,london_grid_057,2018-04-27 00:00:00,CLOUDY,3.75,996.5547,92.0,213.74,7.55
2971621,london_grid_058,2018-04-27 00:00:00,CLOUDY,3.91,999.0404,92.0,213.45,7.62
2971622,london_grid_059,2018-04-27 00:00:00,CLOUDY,4.06,1001.5262,92.0,213.17,7.69
2971623,london_grid_060,2018-04-27 00:00:00,CLOUDY,4.56,1001.8718,89.0,213.96,7.58
2971624,london_grid_061,2018-04-27 00:00:00,CLOUDY,5.42,1000.0772,84.0,215.94,7.3
2971625,london_grid_062,2018-04-27 00:00:00,CLOUDY,6.29,998.2826,79.0,218.07,7.03
2971626,london_grid_063,2018-04-27 00:00:00,CLOUDY,9.88,1014.0555,77.0,212.94,14.32
2971627,london_grid_064,2018-04-27 00:00:00,CLOUDY,9.11,1013.267,80.0,214.82,12.31
2971628,london_grid_065,2018-04-27 00:00:00,CLOUDY,8.33,1012.4785,84.0,217.42,10.32
2971629,london_grid_066,2018-04-27 00:00:00,CLOUDY,7.67,1010.8081,87.0,216.81,8.61
