day,hour,pm10,pm25
15,0,290.0,97.2
15,3,290.0,97.2
15,6,300.0,99.1
15,9,300.0,99.1
15,12,274.0,95.3
15,15,270.0,70.6
15,18,270.0,70.6
15,21,272.0,85.8
16,0,288.0,87.7
16,3,288.0,87.7
16,6,290.0,97.2
16,9,300.0,99.1
16,12,268.0,93.4
16,15,240.0,61.1
16,18,244.0,66.8
16,21,258.0,66.8
17,0,258.0,66.8
17,3,258.0,66.8
17,6,170.0,51.8
17,9,132.0,34.464
17,12,92.0,27.444
17,15,90.0,22.296
17,18,104.0,28.38
17,21,144.0,45.8
18,0,228.0,50.2
18,3,228.0,50.2
18,6,236.0,59.2
18,9,228.0,59.2
18,12,218.0,48.2
18,15,138.0,43.8
18,18,104.0,27.444
18,21,104.0,28.38
19,0,138.0,39.8
19,3,194.0,48.2
19,6,242.0,64.9
19,9,272.0,87.7
19,12,272.0,87.7
19,15,270.0,70.6
19,18,270.0,70.6
19,21,264.0,68.7
20,0,264.0,68.7
20,3,270.0,70.6
20,6,274.0,95.3
20,9,300.0,99.1
20,12,272.0,95.3
20,15,240.0,64.9
20,18,132.0,45.4
20,21,118.0,29.316
21,0,132.0,30.252
21,3,142.0,45.4
21,6,224.0,49.8
21,9,228.0,50.2
21,12,228.0,50.2
21,15,228.0,50.2
21,18,228.0,50.2
21,21,202.0,49.0
22,0,196.0,44.2
22,3,140.0,40.6
22,6,132.0,30.252
22,9,144.0,45.8
22,12,232.0,57.3
22,15,114.0,51.0
22,18,42.12,17.616
22,21,42.12,17.616
