day,hour,pm10,pm25
27,8,29.16,8.16
27,11,39.96,10.08
27,14,38.88,10.56
27,17,38.88,9.12
27,20,39.96,9.12
27,23,31.32,8.16
28,2,41.04,12.0
28,5,66.0,15.744
28,8,66.0,17.148
28,11,44.28,12.936
28,14,41.04,10.56
28,17,36.72,8.88
28,20,41.04,9.6
28,23,35.64,9.6
29,2,28.08,6.72
29,5,28.08,6.72
29,8,28.08,7.2
29,11,29.16,6.72
29,14,30.24,7.68
29,17,31.32,6.96
29,20,25.92,6.24
29,23,16.2,5.52
30,2,12.96,3.12
30,5,8.64,2.88
30,8,6.48,1.68
30,11,4.32,1.2
30,14,5.4,1.92
30,17,8.64,2.4
30,20,12.96,3.36
30,23,11.88,3.36
