day,hour,pm10,pm25
12,0,262.0,63.0
12,3,262.0,68.7
12,6,274.0,93.4
12,9,298.0,99.1
12,12,292.0,97.2
12,15,272.0,87.7
12,18,270.0,70.6
12,21,242.0,64.9
13,0,242.0,64.9
13,3,270.0,72.5
13,6,276.0,95.3
13,9,300.0,99.1
13,12,300.0,99.1
13,15,274.0,95.3
13,18,270.0,70.6
13,21,270.0,70.6
14,0,270.0,70.6
14,3,270.0,70.6
14,6,274.0,91.5
14,9,274.0,91.5
14,12,270.0,70.6
14,15,270.0,70.6
14,18,274.0,95.3
14,21,300.0,99.1
15,0,290.0,97.2
15,3,290.0,97.2
15,6,300.0,99.1
15,9,300.0,99.1
15,12,274.0,95.3
15,15,270.0,70.6
15,18,270.0,70.6
15,21,270.0,70.6
16,0,262.0,68.7
16,3,262.0,63.0
16,6,266.0,83.9
16,9,290.0,97.2
16,12,274.0,95.3
16,15,270.0,70.6
16,18,270.0,70.6
16,21,270.0,70.6
17,0,258.0,66.8
17,3,124.0,50.6
17,6,90.0,22.296
17,9,92.0,27.912
17,12,132.0,30.252
17,15,132.0,30.252
17,18,132.0,30.252
17,21,144.0,45.8
18,0,228.0,50.2
18,3,242.0,64.9
18,6,270.0,70.6
18,9,270.0,70.6
18,12,242.0,64.9
18,15,144.0,45.8
18,18,132.0,30.252
18,21,132.0,30.252
19,0,144.0,45.8
19,3,228.0,50.2
19,6,242.0,64.9
19,9,270.0,70.6
19,12,242.0,64.9
19,15,228.0,50.2
19,18,228.0,50.6
19,21,244.0,66.8
20,0,270.0,72.5
20,3,276.0,95.3
20,6,310.0,150.4
20,9,360.3,159.4
20,12,300.0,148.5
20,15,270.0,85.8
20,18,262.0,66.8
20,21,262.0,66.8
