day,hour,pm10,pm25
31,8,82.0,21.36
31,11,98.0,26.508
31,14,92.0,23.7
31,17,74.0,23.232
31,20,62.0,14.808
31,23,68.0,15.744
1,2,68.0,16.212
1,5,68.0,16.68
1,8,80.0,21.36
1,11,78.0,20.892
1,14,64.0,17.616
1,17,60.0,15.276
1,20,47.52,11.76
1,23,37.8,8.88
2,2,41.04,11.04
2,5,51.84,12.0
2,8,49.68,12.936
2,11,42.12,10.32
2,14,42.12,11.52
2,17,28.08,7.92
2,20,25.92,6.0
2,23,24.84,5.52
3,2,23.76,9.12
3,5,46.44,12.936
3,8,58.0,13.872
3,11,56.0,13.404
3,14,58.0,13.872
3,17,31.32,13.872
3,20,30.24,9.36
3,23,44.28,10.8
