day,hour,pm10,pm25
29,8,94.0,23.232
29,11,74.0,19.956
29,14,62.0,16.212
29,17,58.0,14.34
29,20,49.68,12.0
29,23,54.0,12.936
30,2,58.0,14.808
30,5,60.0,14.808
30,8,30.24,12.0
30,11,14.04,5.52
30,14,12.96,6.48
30,17,38.88,10.08
30,20,58.0,15.744
30,23,62.0,15.744
31,2,72.0,19.488
31,5,86.0,20.892
31,8,88.0,24.168
31,11,102.0,26.976
31,14,92.0,21.828
31,17,58.0,21.828
31,20,32.4,10.32
31,23,32.4,8.88
1,2,43.2,13.872
1,5,62.0,14.34
1,8,68.0,18.552
1,11,88.0,20.892
1,14,52.92,18.552
1,17,24.84,9.12
1,20,19.44,5.04
1,23,19.44,5.28
