day,hour,pm10,pm25
16,0,288.0,87.7
16,3,288.0,87.7
16,6,290.0,97.2
16,9,298.0,99.1
16,12,268.0,91.5
16,15,238.0,59.2
16,18,244.0,66.8
16,21,244.0,66.8
17,0,238.0,59.2
17,3,236.0,59.2
17,6,140.0,45.8
17,9,92.0,27.444
17,12,88.0,19.956
17,15,92.0,27.444
17,18,128.0,29.784
17,21,144.0,45.8
18,0,224.0,49.8
18,3,224.0,49.8
18,6,228.0,50.2
18,9,228.0,50.2
18,12,228.0,50.2
18,15,120.0,45.4
18,18,90.0,22.296
18,21,92.0,27.912
19,0,144.0,45.8
19,3,228.0,50.2
19,6,238.0,61.1
19,9,264.0,64.9
19,12,152.0,59.2
19,15,108.0,28.848
19,18,108.0,28.848
19,21,144.0,45.8
20,0,228.0,50.2
20,3,228.0,50.2
20,6,240.0,64.9
20,9,262.0,66.8
20,12,236.0,59.2
20,15,228.0,50.2
20,18,224.0,49.8
20,21,194.0,47.8
21,0,188.0,42.2
21,3,188.0,42.2
21,6,194.0,47.8
21,9,232.0,59.2
21,12,236.0,59.2
21,15,228.0,50.2
21,18,236.0,61.1
21,21,264.0,68.7
22,0,270.0,72.5
22,3,250.0,68.7
22,6,228.0,51.4
22,9,122.0,45.4
22,12,36.72,20.424
22,15,14.04,4.8
22,18,12.96,2.88
22,21,18.36,8.64
23,0,51.84,18.552
23,3,94.0,27.912
23,6,132.0,31.656
23,9,150.0,46.2
23,12,112.0,45.0
23,15,88.0,20.424
23,18,88.0,19.956
23,21,88.0,19.956
