day,hour,pm10,pm25
11,0,264.0,68.7
11,3,272.0,87.7
11,6,292.0,97.2
11,9,310.0,150.4
11,12,302.0,148.5
11,15,256.0,82.0
11,18,228.0,50.2
11,21,236.0,59.2
12,0,262.0,63.0
12,3,262.0,68.7
12,6,274.0,93.4
12,9,298.0,99.1
12,12,292.0,97.2
12,15,272.0,87.7
12,18,270.0,70.6
12,21,242.0,64.9
13,0,242.0,64.9
13,3,270.0,72.5
13,6,276.0,95.3
13,9,300.0,99.1
13,12,300.0,99.1
13,15,274.0,95.3
13,18,250.0,66.8
13,21,250.0,66.8
14,0,270.0,70.6
14,3,270.0,70.6
14,6,270.0,70.6
14,9,270.0,72.5
14,12,270.0,72.5
14,15,270.0,70.6
14,18,274.0,95.3
14,21,300.0,99.1
15,0,300.0,99.1
15,3,300.0,99.1
15,6,300.0,99.1
15,9,300.0,99.1
15,12,274.0,95.3
15,15,270.0,70.6
15,18,270.0,70.6
15,21,270.0,70.6
16,0,270.0,70.6
16,3,270.0,70.6
16,6,272.0,87.7
16,9,280.0,87.7
16,12,260.0,74.4
16,15,174.0,53.0
16,18,114.0,33.996
16,21,114.0,33.996
17,0,158.0,36.2
17,3,108.0,33.528
17,6,104.0,28.38
17,9,104.0,28.38
17,12,90.0,22.296
17,15,88.0,19.956
17,18,90.0,24.636
17,21,116.0,28.848
18,0,138.0,39.4
18,3,194.0,48.2
18,6,228.0,51.4
18,9,250.0,66.8
18,12,270.0,70.6
18,15,246.0,66.8
18,18,204.0,49.8
18,21,202.0,49.0
19,0,228.0,51.0
19,3,246.0,66.8
19,6,272.0,87.7
19,9,292.0,97.2
19,12,258.0,89.6
19,15,144.0,45.8
19,18,132.0,30.252
19,21,132.0,30.252
