day,hour,pm10,pm25
10,8,21.6,5.76
10,11,18.36,4.56
10,14,16.2,4.56
10,17,20.52,5.04
10,20,18.36,5.04
10,23,19.44,4.8
11,2,23.76,11.76
11,5,52.92,12.936
11,8,49.68,12.468
11,11,50.76,11.76
11,14,31.32,12.468
11,17,21.6,5.52
11,20,19.44,4.56
11,23,19.44,6.24
12,2,33.48,7.92
12,5,33.48,7.92
12,8,35.64,9.84
12,11,49.68,14.808
12,14,47.52,17.616
12,17,20.52,7.2
12,20,17.28,4.08
12,23,16.2,4.32
13,2,19.44,5.76
13,5,32.4,7.44
13,8,23.76,7.2
13,11,25.92,6.48
13,14,21.6,6.96
13,17,15.12,4.08
13,20,12.96,3.12
13,23,14.04,3.36
