day,hour,pm10,pm25
23,8,47.52,11.52
23,11,46.44,11.04
23,14,52.92,12.0
23,17,39.96,10.32
23,20,34.56,9.36
23,23,35.64,8.88
24,2,42.12,9.6
24,5,38.88,9.12
24,8,46.44,11.76
24,11,44.28,11.52
24,14,50.76,13.404
24,17,62.0,13.872
24,20,68.0,17.148
24,23,70.0,17.148
25,2,72.0,16.68
25,5,52.92,14.808
25,8,46.44,10.8
25,11,45.36,10.56
25,14,42.12,10.56
25,17,51.84,13.404
25,20,60.0,18.552
25,23,96.0,23.232
26,2,92.0,24.168
26,5,104.0,25.572
26,8,102.0,25.572
26,11,76.0,18.084
26,14,74.0,20.424
26,17,86.0,21.828
26,20,76.0,19.02
26,23,86.0,20.424
