day,hour,pm10,pm25
17,8,19.44,4.8
17,11,18.36,4.08
17,14,19.44,4.8
17,17,20.52,5.04
17,20,20.52,5.04
17,23,20.52,4.8
18,2,19.44,4.56
18,5,21.6,5.28
18,8,22.68,5.52
18,11,27.0,7.92
18,14,36.72,9.12
18,17,33.48,8.88
18,20,34.56,8.16
18,23,38.88,9.12
19,2,45.36,14.808
19,5,62.0,17.148
19,8,86.0,20.424
19,11,94.0,24.636
19,14,86.0,26.04
19,17,47.52,13.872
19,20,38.88,9.6
19,23,38.88,8.88
20,2,38.88,12.936
20,5,56.0,15.276
20,8,74.0,21.828
20,11,102.0,27.444
20,14,70.0,26.04
20,17,41.04,13.404
20,20,38.88,9.36
20,23,43.2,10.56
